Model,Accuracy,Precision,Recall,F1,Time_s
Decision Tree,0.998659495906245,0.999244511598969,0.9992711564613758,0.998897925884893,1.4086260795593262
Random Forest,0.999414031144646,0.9995912055880418,0.9997600149324042,0.9995911982003112,17.987717866897583
Logistic Regression,0.9902070958420293,0.9943759828702922,0.9947825468637507,0.9941644253226534,1.6764631271362305
K-Nearest Neighbours,0.9933938031786803,0.9981000802782981,0.9945781151395024,0.9948482953951574,63.15395522117615
Support Vector Machine,0.9577299727082998,0.9838478266754496,0.9691041446310007,0.9721486361940258,2289.273185968399
