Model,Accuracy,Precision,Recall,F1,Time_s
Decision Tree,0.9985729718195276,0.998809957282795,0.9983400500648002,0.9978025257551343,2.9229540824890137
Random Forest,0.999448749238696,0.9996536658141517,0.9992454773021819,0.9990765931997633,44.129915952682495
Logistic Regression,0.9836714189816976,0.9888048655776528,0.9784739112681308,0.9836125439907752,2.5972249507904053
K-Nearest Neighbours,0.9941896391530298,0.9998024975087754,0.9885933921565146,0.9906432466317721,183.39786505699158
Support Vector Machine,0.9591674335276048,0.9993051065020798,0.9191062900562785,0,5107
